Word,KL_Divergence,Max_Index,Max_elementwise_KL
ski,0.31274092,"('outdoors', 'natural', 'mountain')",0.411384105682373
drink,0.32559168,"('indoors', 'man-made', 'restaurant')",0.3357217907905578
overlook,0.35545975,"('outdoors', 'natural', 'mountain')",0.3214410841464996
examine,0.32670876,"('indoors', 'man-made', 'work_education')",0.2951124310493469
grab,0.3106363,"('outdoors', 'man-made', 'recreation')",0.2903930246829986
practice,0.25866842,"('indoors', 'man-made', 'recreation')",0.279348224401474
walk,0.19997808,"('outdoors', 'man-made', 'transportation_urban')",0.2793431878089905
ask,0.19875413,"('indoors', 'man-made', 'recreation')",0.2617474198341369
post,0.25134385,"('outdoors', 'man-made', 'transportation_urban')",0.2614982426166534
put,0.28801075,"('indoors', 'man-made', 'work_education')",0.2573560178279876
kick,0.31040096,"('outdoors', 'man-made', 'recreation')",0.2515805661678314
strike,0.31695765,"('indoors', 'man-made', 'recreation')",0.2513781785964966
buy,0.35531604,"('indoors', 'man-made', 'work_education')",0.2481275200843811
sleep,0.3246524,"('indoors', 'man-made', 'domestic')",0.2456124126911163
rain,0.28038323,"('outdoors', 'man-made', 'transportation_urban')",0.2415738999843597
reveal,0.31493786,"('outdoors', 'man-made', 'recreation')",0.2384749501943588
dig,0.2876338,"('outdoors', 'man-made', 'work_education')",0.232222706079483
compete,0.35115445,"('indoors', 'man-made', 'recreation')",0.2318401932716369
stop,0.21945229,"('outdoors', 'man-made', 'transportation_urban')",0.2294829487800598
perform,0.1987147,"('indoors', 'man-made', 'recreation')",0.2290509939193725
park,0.20608239,"('outdoors', 'man-made', 'recreation')",0.2287893444299698
flood,0.34504125,"('outdoors', 'man-made', 'recreation')",0.2078297734260559
give,0.21232921,"('indoors', 'man-made', 'work_education')",0.2047947496175766
sweep,0.33116934,"('outdoors', 'man-made', 'transportation_urban')",0.198927640914917
test,0.18384683,"('outdoors', 'man-made', 'transportation_urban')",0.1988890171051025
balance,0.20633063,"('indoors', 'man-made', 'recreation')",0.1961314231157302
fly,0.2781647,"('outdoors', 'natural', 'body_of_water')",0.195758432149887
smoke,0.28122345,"('outdoors', 'man-made', 'transportation_urban')",0.190872237086296
shine,0.24839589,"('outdoors', 'man-made', 'transportation_urban')",0.1901359558105468
throw,0.2530601,"('outdoors', 'man-made', 'recreation')",0.1887324005365371
block,0.18579595,"('indoors', 'man-made', 'recreation')",0.1869011372327804
laugh,0.23965886,"('indoors', 'man-made', 'domestic')",0.1792059391736984
knock,0.3079957,"('indoors', 'man-made', 'recreation')",0.1720295548439026
wrap,0.3039928,"('indoors', 'man-made', 'domestic')",0.1701743900775909
drive,0.20617984,"('outdoors', 'man-made', 'transportation_urban')",0.1672960519790649
converse,0.3107657,"('outdoors', 'man-made', 'transportation_urban')",0.1650126725435257
wait,0.1830664,"('outdoors', 'man-made', 'transportation_urban')",0.1639568656682968
attach,0.19624065,"('outdoors', 'man-made', 'transportation_urban')",0.162881851196289
pile,0.2783154,"('outdoors', 'man-made', 'transportation_urban')",0.1626573950052261
safe,0.20645303,"('outdoors', 'man-made', 'transportation_urban')",0.1603166759014129
opposite,0.22549257,"('outdoors', 'man-made', 'transportation_urban')",0.1580281555652618
catch,0.2502271,"('outdoors', 'man-made', 'recreation')",0.1549663990736007
seat,0.18976724,"('outdoors', 'man-made', 'transportation_urban')",0.153984934091568
drag,0.22188848,"('outdoors', 'man-made', 'recreation')",0.1520159542560577
press,0.19541179,"('outdoors', 'man-made', 'recreation')",0.149671584367752
chase,0.24261683,"('outdoors', 'natural', 'field_forest')",0.1489561796188354
prevent,0.3123954,"('indoors', 'man-made', 'domestic')",0.1483935266733169
work,0.20381255,"('outdoors', 'man-made', 'transportation_urban')",0.1476084440946579
speak,0.24093808,"('indoors', 'man-made', 'work_education')",0.1469193994998932
master,0.28894392,"('indoors', 'man-made', 'domestic')",0.1443312615156173
land,0.17445257,"('outdoors', 'man-made', 'recreation')",0.1434871405363083
emerge,0.24243976,"('outdoors', 'man-made', 'transportation_urban')",0.1434334814548492
cut,0.26950526,"('indoors', 'man-made', 'work_education')",0.1395871639251709
collect,0.2005539,"('indoors', 'man-made', 'work_education')",0.1378356367349624
stuff,0.27456707,"('indoors', 'man-made', 'domestic')",0.1350220441818237
contain,0.2270917,"('outdoors', 'man-made', 'transportation_urban')",0.1341858208179474
grin,0.22848488,"('outdoors', 'man-made', 'recreation')",0.1231444478034973
pattern,0.30514488,"('outdoors', 'man-made', 'transportation_urban')",0.1230345144867897
attract,0.2203223,"('outdoors', 'man-made', 'transportation_urban')",0.1226061359047889
approach,0.27991816,"('outdoors', 'man-made', 'transportation_urban')",0.1198884099721908
express,0.21654914,"('outdoors', 'man-made', 'recreation')",0.1181506738066673
display,0.21615471,"('outdoors', 'man-made', 'transportation_urban')",0.1170518472790718
grind,0.2654292,"('outdoors', 'man-made', 'recreation')",0.1149466782808303
happy,0.20434642,"('indoors', 'man-made', 'domestic')",0.1147075369954109
kiss,0.3094321,"('outdoors', 'natural', 'field_forest')",0.1134247332811355
stare,0.22843114,"('outdoors', 'man-made', 'transportation_urban')",0.1111023351550102
partial,0.26199594,"('outdoors', 'man-made', 'work_education')",0.1106869652867317
cause,0.2822789,"('outdoors', 'man-made', 'transportation_urban')",0.1047619879245758
pause,0.21459968,"('outdoors', 'man-made', 'recreation')",0.1017812937498092
come,0.20066118,"('outdoors', 'man-made', 'recreation')",0.101607009768486
blur,0.21739255,"('outdoors', 'man-made', 'recreation')",0.1002862155437469
find,0.22328213,"('outdoors', 'man-made', 'recreation')",0.1002862155437469
observe,0.21137069,"('outdoors', 'man-made', 'transportation_urban')",0.100199818611145
create,0.2499522,"('indoors', 'man-made', 'recreation')",0.0984662324190139
spray,0.23542155,"('outdoors', 'man-made', 'transportation_urban')",0.098334401845932
touch,0.18299545,"('indoors', 'man-made', 'recreation')",0.0960956886410713
blow,0.19372024,"('outdoors', 'natural', 'field_forest')",0.0945937037467956
stay,0.26018643,"('outdoors', 'man-made', 'transportation_urban')",0.0942515134811401
travel,0.2717537,"('outdoors', 'man-made', 'transportation_urban')",0.0942515134811401
share,0.18546963,"('outdoors', 'man-made', 'transportation_urban')",0.0840846896171569
chat,0.23645666,"('outdoors', 'man-made', 'transportation_urban')",0.080636478960514
operate,0.1757033,"('outdoors', 'man-made', 'recreation')",0.0744003430008888
discuss,0.22406471,"('outdoors', 'man-made', 'transportation_urban')",0.0665090978145599
