Word,KL_Divergence,Max_Index,Max_elementwise_KL
copy,1.273472785949707,"('indoors', 'man-made', 'work_education')",1.273472785949707
strand,1.195634126663208,"('indoors', 'man-made', 'domestic')",1.195634126663208
accompany,1.0963106155395508,"('indoors', 'man-made', 'recreation')",1.0963106155395508
slice,1.1308324337005615,"('indoors', 'man-made', 'restaurant')",0.9786983728408813
harvest,1.0144000053405762,"('outdoors', 'natural', 'field_forest')",0.9582178592681885
interrupt,1.572427749633789,"('indoors', 'man-made', 'restaurant')",0.9008733034133911
surf,0.8022225499153137,"('outdoors', 'natural', 'body_of_water')",0.8916435837745667
drill,0.8567647337913513,"('indoors', 'man-made', 'domestic')",0.8789793252944946
freeze,0.9849631786346436,"('indoors', 'man-made', 'work_education')",0.8614005446434021
paddle,0.8116052150726318,"('outdoors', 'natural', 'body_of_water')",0.8609074354171753
bathe,0.9042176008224487,"('outdoors', 'natural', 'body_of_water')",0.8511910438537598
wave,0.7350488305091858,"('outdoors', 'natural', 'body_of_water')",0.8358644247055054
profile,1.2732353210449219,"('outdoors', 'man-made', 'other_unclear')",0.7693313956260681
pilot,0.8687577247619629,"('indoors', 'man-made', 'transportation_urban')",0.7476608157157898
sail,0.6627052426338196,"('outdoors', 'natural', 'body_of_water')",0.7176833152770996
station,0.6844863891601562,"('indoors', 'man-made', 'transportation_urban')",0.6944018006324768
dream,1.0713446140289307,"('indoors', 'man-made', 'restaurant')",0.6715543866157532
thrust,1.0762614011764526,"('indoors', 'man-made', 'restaurant')",0.6715543866157532
slide,0.5796082019805908,"('outdoors', 'man-made', 'recreation')",0.5949541926383972
roof,0.5789437294006348,"('outdoors', 'man-made', 'domestic')",0.5927057266235352
donate,0.5878969430923462,"('outdoors', 'man-made', 'transportation_urban')",0.5878969430923462
wet,0.5090633630752563,"('outdoors', 'natural', 'body_of_water')",0.586313009262085
decide,0.6709239482879639,"('indoors', 'man-made', 'restaurant')",0.5469266176223755
riot,0.5229603052139282,"('outdoors', 'man-made', 'transportation_urban')",0.5317915081977844
snow,0.6143863797187805,"('outdoors', 'natural', 'mountain')",0.5181960463523865
pierce,0.6579625606536865,"('outdoors', 'man-made', 'transportation_urban')",0.5145291090011597
float,0.4697178602218628,"('outdoors', 'natural', 'body_of_water')",0.49977612495422363
climb,0.4124600887298584,"('outdoors', 'natural', 'mountain')",0.4606178402900696
teach,0.4054592251777649,"('indoors', 'man-made', 'work_education')",0.45297786593437195
fish,0.4551677405834198,"('outdoors', 'natural', 'body_of_water')",0.4529723823070526
dance,0.378187358379364,"('indoors', 'man-made', 'recreation')",0.4469129741191864
protest,0.4713670015335083,"('outdoors', 'man-made', 'transportation_urban')",0.4360623061656952
survey,0.8488275408744812,"('outdoors', 'natural', 'field_forest')",0.40470704436302185
chew,0.6771072149276733,"('indoors', 'man-made', 'domestic')",0.4034990966320038
scare,0.4232932925224304,"('outdoors', 'man-made', 'recreation')",0.4012591242790222
drift,0.7167052030563354,"('outdoors', 'natural', 'body_of_water')",0.39979028701782227
busy,0.3645220398902893,"('outdoors', 'man-made', 'transportation_urban')",0.390651673078537
weave,0.7382126450538635,"('indoors', 'man-made', 'work_education')",0.388069748878479
shoot,0.3642514646053314,"('indoors', 'man-made', 'recreation')",0.384609192609787
study,0.6958960294723511,"('indoors', 'man-made', 'other_unclear')",0.38045185804367065
crash,0.3770256042480469,"('outdoors', 'natural', 'body_of_water')",0.3638831377029419
bark,0.45104166865348816,"('outdoors', 'natural', 'field_forest')",0.36374372243881226
chant,0.48221415281295776,"('outdoors', 'man-made', 'transportation_urban')",0.3615668714046478
