Word,indoors - man-made - work_education,outdoors - natural - body_of_water,indoors - man-made - recreation,outdoors - natural - field_forest,outdoors - man-made - work_education,indoors - man-made - domestic,outdoors - man-made - domestic,outdoors - natural - mountain,outdoors - man-made - recreation,indoors - man-made - other_unclear,indoors - man-made - transportation_urban,outdoors - man-made - other_unclear,outdoors - man-made - restaurant,outdoors - man-made - transportation_urban,outdoors - natural - other_unclear,indoors - man-made - restaurant,KLD_SUM
ski-01,,-0.0124920317949463,,-0.0098199904985257,,,,1.334175677261316,-0.020361072181903,,,,,,,,1.291502582785941
grill-01,,,,-0.0043764802146469,,,0.8457826394470984,,,,,,0.4076654259081926,,,,1.2490715851406442
row-01,,1.1006105531269337,,,,,,,,,,,,,,,1.1006105531269337
surf-01,,1.0641892832714168,,,,,,,-0.0201254617413378,,,,,,,,1.044063821530079
fish-01,,1.0370385162898823,,,,,,,-0.0250929726854122,,,,,,,,1.01194554360447
hike-01,,0.0281744311081308,,0.0294570618962669,,,,0.9498331581947568,,,,,,-0.0336448207111715,,,0.9738198304879832
paddle-01,,0.9493677563096328,,-0.0095292969914002,,,,,-0.0261525049201134,,,,,,,,0.9136859543981192
drink-01,,,,,,0.0003420894006457,0.0164150658100669,,,0.0276222630558944,,0.154412007892548,,-0.0388909345607306,,0.5866023067040195,0.7465027983024439
present-01,0.7829996174466712,,-0.0102359711514885,,0.0130395905146663,,,,-0.0261525049201134,0.0158723389936337,,,,-0.0412103040339352,,,0.7343127668494341
wade-01,,0.7525508701600855,,0.0212970741319628,,,,,,,,,,-0.0401790548298405,,,0.7336688894622078
sing-01,-0.0028762735324973,,0.5046287827555421,,,,,,0.0081688221538118,0.1052038977692019,,-0.0074280784067931,,,,0.0040693970731974,0.6117665478124628
shop-01,0.4603215404667946,,,,0.1535977863211741,,,,-0.0241994024776768,,,,,0.0176661281462531,,,0.607386052456545
swim-01,,0.4734785077296293,0.0431028897192706,-0.0084223326391953,,,,,0.0566968035661395,,,,,-0.0131299641362703,,,0.5517259042395739
swing-01,,-0.0107826933390079,-0.0124920437894273,0.0355990954381442,,,,,0.5345040045727655,,,,,,,,0.5468283628824745
splash-01,,0.5603066065443806,0.0118790978744417,0.0133513357079592,-0.0024879048212141,,,,-0.015638761216279,,,,,-0.0227780057857279,,,0.5446323683035605
swing-02,,-0.0119671890241817,-0.0075322906189288,-0.0114998381134424,,-0.0100667184091143,0.0628735757128744,,0.4361545560931777,0.0088214706745847,,,,,,,0.4667835663149696
pass-by-17,,,,-0.0088583971114132,,,,,-0.0263565107205851,,,,,0.4827930927086095,,,0.4475781848766111
eat-01,,,,0.0045895595251003,,0.0365680121110446,0.0239869861213521,-0.0047512121090664,-0.0261525049201134,0.0158723389936337,,0.0644037567755424,0.1102776614883441,-0.0412103040339352,0.0010717909448082,0.2605196936324574,0.445175778529168
dive-01,,0.181146828353249,-0.0013563676671251,-0.0117126650821092,,,0.0011458411636735,,0.2741493919064554,,,,,,,,0.4433730286741434
approach-01,0.0273472842052416,,,0.0822948102999916,,,,,,,0.0796351587332754,,,0.1434334819983334,0.0988833262576604,,0.4315940614945026
hit-01,-0.0082146787318886,,0.0096310572634209,-0.0010871010579242,,,0.0071867611281173,,0.409916477312597,0.0158723389936337,,,,-0.0253540757916828,,,0.4079507791162734
sell-01,0.0220348371501419,,-0.0110246582155176,,0.3230579830702875,,0.0050295284447601,,-0.0266383672648111,,,-0.0074280784067931,0.0044594347421628,0.0956917809550819,,-0.002596532165924,0.4025859283093883
cross-02,,0.0059771711318788,,,,,-0.0057374786059797,-0.0047081654475547,-0.0211000973514499,,,-0.0072463859484143,,0.4322217611484157,,,0.3994068049268958
trick-01,,,0.026710821951987,,,,-0.0015031121163852,,0.4124383052060811,,,-0.00520236882687,,-0.0388909345607306,,,0.3935527116540821
compete-01,,-0.0121593043576336,0.1698887341547706,-0.0110903747419472,,,,-0.0031724433972146,0.2881327674407896,,,,,-0.03874976448226,,,0.3928496146165047
board-01,,0.3001663797563865,,,,,,,-2.85588536553758e-05,,,,,0.0865357158121008,,,0.386673536714832
dance-01,-0.0064174324935866,,0.4736943842862943,-0.0107439375713013,-0.0039048807512812,-0.0097842380605329,-0.0056784654138718,,-0.0144429311637855,-0.0005676341124893,,0.0028961104777874,,-0.0389233094911952,-0.0009980353684033,-0.0026576540861223,0.3824719762515119
finish-01,,,0.0014274438822153,,,0.0695804722494428,0.030465331014892,,0.3172730698832003,,,,,-0.0409403571989147,,,0.3778059598308358
skate-01,,-0.0113529253430721,0.3193837985289637,,,,,,0.0795413351655925,,,,,-0.0162741026132448,,,0.3712981057382393
climb-01,-0.0085116298083,-0.0112785716410022,0.0012443695622653,0.0209445584185555,-0.0036582051468216,,-0.0042292128918508,0.3826489134887185,0.0402917172053599,-0.0033818394415565,,-0.0030663654190248,,-0.0405648326820824,-0.0015752224316056,,0.3688636792126551
sleep-01,-0.0084086326007675,-0.0125028703739854,,-0.0121676373270862,-0.0043484189340097,0.1035867102613851,,-0.0047896551577674,-0.007764460154103,,0.3171900599727738,-0.0005606554827684,0.02166188173135,-0.0243673346464908,,,0.3675289872885302
catch-01,,0.0881967782065127,-0.0124920437894273,0.1109245581991605,,,0.0201221872581212,0.0457287957223262,0.1118381514201649,,,-0.0070553533808903,,,,,0.357263073635968
