Verb,Total annotations,Original correct,Processed correct,drop in percentage,Original percentage,Processed percentage,Worker A17EZEAMF37MGQ,Worker A176JUTGNWG7QJ,Worker A2SMHEGRLML092,Worker A2ZY94PZ5CVH0,KLDivergence
kneel-01,32,16,7,0.45,0.8,0.35,8 / 10,8 / 10,8 / 10,8 / 10,0.0855765508796488
wait-01,40,20,17,0.15,1.0,0.85,10 / 10,10 / 10,10 / 10,10 / 10,0.2439586596005655
sit-01,40,20,18,0.1,1.0,0.9,10 / 10,10 / 10,10 / 10,10 / 10,0.0409340218732662
run-02,40,11,9,0.1,0.55,0.45,10 / 10,10 / 10,10 / 10,10 / 10,0.233144345927466
lie-07,40,20,18,0.1,1.0,0.9,10 / 10,10 / 10,10 / 10,10 / 10,0.3357568074664959
lean-01,40,20,18,0.1,1.0,0.9,10 / 10,10 / 10,10 / 10,10 / 10,0.1159706878143049
catch-01,40,8,6,0.1,0.4,0.3,10 / 10,10 / 10,10 / 10,10 / 10,0.357263073635968
drive-01,40,20,19,0.05,1.0,0.95,10 / 10,10 / 10,10 / 10,10 / 10,0.2780281036272092
enjoy-01,40,20,19,0.05,1.0,0.95,10 / 10,10 / 10,10 / 10,10 / 10,0.0944803992516977
contrast-01,40,16,15,0.05,0.8,0.75,10 / 10,10 / 10,10 / 10,10 / 10,0.0432238844132744
sleep-01,40,20,19,0.05,1.0,0.95,10 / 10,10 / 10,10 / 10,10 / 10,0.3675289872885302
drink-01,40,20,19,0.05,1.0,0.95,10 / 10,10 / 10,10 / 10,10 / 10,0.7465027983024439
grill-01,40,20,19,0.05,1.0,0.95,10 / 10,10 / 10,10 / 10,10 / 10,1.2490715851406442
sing-01,40,18,18,0.0,0.9,0.9,10 / 10,10 / 10,10 / 10,10 / 10,0.6117665478124628
use-01,40,20,20,0.0,1.0,1.0,10 / 10,10 / 10,10 / 10,10 / 10,0.134190473636588
swing-01,40,19,19,0.0,0.95,0.95,10 / 10,10 / 10,10 / 10,10 / 10,0.5468283628824745
speak-01,32,15,15,0.0,0.75,0.75,8 / 10,8 / 10,8 / 10,8 / 10,0.293925732838351
ski-01,40,20,20,0.0,1.0,1.0,10 / 10,10 / 10,10 / 10,10 / 10,1.291502582785941
practice-01,40,20,20,0.0,1.0,1.0,10 / 10,10 / 10,10 / 10,10 / 10,0.3031872740822552
sell-01,40,20,20,0.0,1.0,1.0,10 / 10,10 / 10,10 / 10,10 / 10,0.4025859283093883
row-01,40,20,20,0.0,1.0,1.0,10 / 10,10 / 10,10 / 10,10 / 10,1.1006105531269337
pass-by-17,40,20,20,0.0,1.0,1.0,10 / 10,10 / 10,10 / 10,10 / 10,0.4475781848766111
examine-01,40,20,20,0.0,1.0,1.0,10 / 10,10 / 10,10 / 10,10 / 10,0.3534159717500019
present-01,40,19,20,-0.05,0.95,1.0,10 / 10,10 / 10,10 / 10,10 / 10,0.7343127668494341
race-02,40,16,18,-0.1,0.8,0.9,10 / 10,10 / 10,10 / 10,10 / 10,0.3070605837431263
jump-03,40,8,12,-0.2,0.4,0.6,10 / 10,10 / 10,10 / 10,10 / 10,0.1541386236091168
play-01,40,11,16,-0.25,0.55,0.8,10 / 10,10 / 10,10 / 10,10 / 10,0.1401650958812
